t,n,pos_rate,acc,precision,recall,f1,spec,tn,fp,fn,tp
0.25,877,0.500570125427594,0.774230330672748,0.8753894080996885,0.6400911161731208,0.7394736842105263,0.9086757990867559,398,40,158,281
0.26,877,0.500570125427594,0.7753705815279361,0.8805031446540881,0.6378132118451025,0.7397622192866579,0.9132420091324179,400,38,159,280
0.27,877,0.500570125427594,0.7765108323831242,0.8832807570977917,0.6378132118451025,0.7407407407407407,0.915525114155249,401,37,159,280
0.28,877,0.500570125427594,0.7708095781071835,0.8814102564102564,0.6264236902050114,0.7323568575233023,0.915525114155249,401,37,164,275
0.29000000000000004,877,0.500570125427594,0.7651083238312428,0.8794788273615635,0.6150341685649203,0.7238605898123325,0.915525114155249,401,37,169,270
0.3,877,0.500570125427594,0.7685290763968073,0.8881578947368421,0.6150341685649203,0.7267833109017496,0.9223744292237421,404,34,169,270
0.31,877,0.500570125427594,0.7696693272519954,0.8963210702341137,0.6104783599088838,0.7262872628726287,0.9292237442922353,407,31,171,268
0.32,877,0.500570125427594,0.7696693272519954,0.9044368600682594,0.6036446469248291,0.7240437158469946,0.9360730593607284,410,28,174,265
0.33,877,0.500570125427594,0.7673888255416191,0.9037800687285223,0.5990888382687927,0.7205479452054795,0.9360730593607284,410,28,176,263
0.34,877,0.500570125427594,0.7651083238312428,0.903114186851211,0.5945330296127562,0.717032967032967,0.9360730593607284,410,28,178,261
0.35000000000000003,877,0.500570125427594,0.7639680729760547,0.9027777777777778,0.592255125284738,0.7152682255845942,0.9360730593607284,410,28,179,260
0.36000000000000004,877,0.500570125427594,0.7651083238312428,0.9087719298245615,0.5899772209567198,0.7154696132596685,0.9406392694063905,412,26,180,259
0.37,877,0.500570125427594,0.7628278221208666,0.9081272084805654,0.5854214123006833,0.7119113573407202,0.9406392694063905,412,26,182,257
0.38,877,0.500570125427594,0.7651083238312428,0.9145907473309609,0.5854214123006833,0.7138888888888889,0.9452054794520526,414,24,182,257
0.39,877,0.500570125427594,0.7628278221208666,0.9139784946236559,0.5808656036446469,0.7103064066852368,0.9452054794520526,414,24,184,255
0.4,877,0.500570125427594,0.7616875712656784,0.9136690647482014,0.5785876993166287,0.708507670850767,0.9452054794520526,414,24,185,254
0.41000000000000003,877,0.500570125427594,0.7616875712656784,0.9136690647482014,0.5785876993166287,0.708507670850767,0.9452054794520526,414,24,185,254
0.42000000000000004,877,0.500570125427594,0.758266818700114,0.9127272727272727,0.571753986332574,0.7030812324929971,0.9452054794520526,414,24,188,251
0.43,877,0.500570125427594,0.758266818700114,0.9188191881918819,0.5671981776765376,0.7014084507042253,0.9497716894977146,416,22,190,249
